"ano","semana","distrito","total_casos","temp_min_semana","population"
2018,15,"FERNANDO LORES",3,22.4922833367782,14935
2018,15,"IQUITOS",8,22.6515264779997,162450
2018,15,"JENARO HERRERA",1,22.6146595474693,5084
2018,15,"MAZAN",1,22.4053119313033,13898
2018,15,"NAUTA",1,22.5324974020365,32622
2018,15,"PUNCHANA",7,22.4863313342739,86608
2018,15,"SAN JUAN BAUTISTA",14,22.5007679432528,143054
2018,16,"BELEN",6,22.5330240885417,70503
2018,16,"FERNANDO LORES",6,22.2237429959182,14935
2018,16,"IQUITOS",8,22.4407719628456,162450
2018,16,"MAZAN",1,22.083127093814,13898
2018,16,"NAUTA",2,22.2575583767274,32622
2018,16,"PUNCHANA",3,22.2513767167589,86608
2018,16,"SAN JUAN BAUTISTA",9,22.2249360067179,143054
2018,16,"YURIMAGUAS",2,20.753941928301,96151
2018,17,"BELEN",2,22.635011944166,70503
2018,17,"FERNANDO LORES",23,22.182431738114,14935
2018,17,"IQUITOS",7,22.3989898199149,162450
2018,17,"NAUTA",4,22.4966330881087,32622
2018,17,"PUNCHANA",3,22.2148409948513,86608
2018,17,"SAN JUAN BAUTISTA",2,22.2217568957334,143054
2018,17,"YURIMAGUAS",1,21.3127855151026,96151
2018,18,"BELEN",4,22.6434843530346,70503
2018,18,"FERNANDO LORES",20,22.4841052049829,14935
2018,18,"IQUITOS",7,22.4384437008181,162450
2018,18,"NAPO",1,21.7782943553454,17106
2018,18,"NAUTA",8,22.8015769675201,32622
2018,18,"PUNCHANA",2,22.4644298043382,86608
2018,18,"SAN JUAN BAUTISTA",12,22.4739805113984,143054
2018,18,"YURIMAGUAS",3,21.5530889767749,96151
2018,19,"ANDOAS",1,21.6521910200045,14570
2018,19,"BELEN",2,22.0820495988064,70503
2018,19,"FERNANDO LORES",21,21.8810191329932,14935
2018,19,"INDIANA",2,21.8939385956602,11768
2018,19,"IQUITOS",8,21.8970483953303,162450
2018,19,"NAUTA",3,21.9839390664777,32622
2018,19,"PUNCHANA",5,21.8669323323322,86608
2018,19,"SAN JUAN BAUTISTA",5,21.7589954460558,143054
2018,19,"YURIMAGUAS",1,21.566947199531,96151
2018,20,"BELEN",2,22.5484784849274,70503
2018,20,"FERNANDO LORES",10,22.5278816621305,14935
2018,20,"INDIANA",1,22.2572566757126,11768
2018,20,"IQUITOS",5,22.5068979054729,162450
2018,20,"PUNCHANA",4,22.0224135297827,86608
2018,20,"SAN JUAN BAUTISTA",5,22.2904821236666,143054
2018,20,"YURIMAGUAS",3,21.2699804267021,96151
2018,21,"BELEN",2,21.8625939248234,70503
2018,21,"FERNANDO LORES",1,21.8282381724356,14935
2018,21,"IQUITOS",8,21.9259190696345,162450
2018,21,"NAUTA",1,21.5587646673601,32622
2018,21,"PUNCHANA",2,21.8196118567525,86608
2018,21,"SAN JUAN BAUTISTA",8,21.6995730536202,143054
2018,21,"TIGRE",1,21.5956662835007,7509
2018,21,"YURIMAGUAS",2,20.3500112543835,96151
2018,22,"ALTO TAPICHE",1,21.0031233092071,1673
2018,22,"BELEN",3,22.9347288598705,70503
2018,22,"FERNANDO LORES",3,22.6400924738923,14935
2018,22,"IQUITOS",2,22.4003830136989,162450
2018,22,"NAUTA",1,22.8151414383062,32622
2018,22,"PUNCHANA",2,22.4611489942777,86608
2018,22,"REQUENA",1,22.2365491087317,27624
2018,22,"SAN JUAN BAUTISTA",6,22.5129600163456,143054
2018,22,"YURIMAGUAS",3,21.7483404120537,96151
2018,23,"BELEN",2,20.7492970784506,70503
2018,23,"INDIANA",2,20.1336423381286,11768
2018,23,"IQUITOS",9,20.5782390971429,162450
2018,23,"NAUTA",2,20.6189896211698,32622
2018,23,"PUNCHANA",4,20.4554474669139,86608
2018,23,"REQUENA",1,19.8551607272833,27624
2018,23,"SAN JUAN BAUTISTA",5,20.445598869995,143054
2018,23,"YURIMAGUAS",2,20.2281997664239,96151
2018,24,"BELEN",3,21.686445856235,70503
2018,24,"FERNANDO LORES",2,21.4932951835186,14935
2018,24,"IQUITOS",7,21.4139096386976,162450
2018,24,"NAUTA",1,21.561070234391,32622
2018,24,"PUNCHANA",4,21.3655862842195,86608
2018,24,"SAN JUAN BAUTISTA",5,21.5951663465496,143054
2018,24,"YURIMAGUAS",4,20.637818887339,96151
2018,25,"BELEN",3,20.6325214307217,70503
2018,25,"FERNANDO LORES",1,20.0796543167589,14935
2018,25,"INDIANA",1,20.2956716837198,11768
2018,25,"IQUITOS",2,20.3689795010332,162450
2018,25,"MAZAN",1,19.9714735902965,13898
2018,25,"NAUTA",2,20.5339675767382,32622
2018,25,"PUNCHANA",1,19.8551993782557,86608
2018,25,"SAN JUAN BAUTISTA",5,20.3256568154817,143054
2018,25,"YURIMAGUAS",3,18.9383127169409,96151
2018,26,"BELEN",4,21.5449705050758,70503
2018,26,"FERNANDO LORES",3,21.7360281566727,14935
2018,26,"IQUITOS",6,21.3821457854059,162450
2018,26,"NAUTA",2,21.8895025851832,32622
2018,26,"PUNCHANA",2,21.4235536731337,86608
2018,26,"PUTUMAYO",1,21.1998234392985,4297
2018,26,"SAN JUAN BAUTISTA",9,21.4784944807108,143054
2018,27,"BELEN",1,22.6660179835857,70503
2018,27,"FERNANDO LORES",2,22.1232439377965,14935
2018,27,"IQUITOS",4,22.2493666175169,162450
2018,27,"NAPO",1,21.55084932976,17106
2018,27,"NAUTA",1,22.1963134917876,32622
2018,27,"SAN JUAN BAUTISTA",4,22.0098345463501,143054
2018,27,"YURIMAGUAS",2,20.6235587030746,96151
2018,28,"BELEN",2,20.185581056488,70503
2018,28,"IQUITOS",5,19.6763203818179,162450
2018,28,"NAUTA",1,19.7810074369104,32622
2018,28,"REQUENA",2,19.7033591296917,27624
2018,28,"SAN JUAN BAUTISTA",5,19.5826375657517,143054
2018,28,"SARAYACU",3,17.7048030652313,15226
2018,28,"YURIMAGUAS",8,18.575376614508,96151
2018,29,"BELEN",2,22.1268343585079,70503
2018,29,"IQUITOS",4,22.0773689239864,162450
2018,29,"PEBAS",1,21.4366113000351,12808
2018,29,"PUNCHANA",1,21.8499921518332,86608
2018,29,"RAMON CASTILLA",1,21.6483191076669,22883
2018,29,"SAN JUAN BAUTISTA",3,22.025509683027,143054
2018,29,"YURIMAGUAS",2,20.7001829083692,96151
2018,30,"BELEN",1,21.9429342624361,70503
2018,30,"FERNANDO LORES",1,21.2930109453378,14935
2018,30,"IQUITOS",1,21.7170300268844,162450
2018,30,"NAUTA",1,21.3189812058351,32622
2018,30,"PUNCHANA",2,21.300018254357,86608
2018,30,"RAMON CASTILLA",4,21.9595846619811,22883
2018,30,"SAN JUAN BAUTISTA",3,21.5309589869637,143054
